Make,MakeOrigin,Fuel,HexColor,EngineCylinders,AverageHighwayMPG,AverageCityMPG
Acura,Asia,Gasoline,#337430,4,35,25
Acura,Asia,Gasoline,#337430,6,28,21
Alfa Romeo,Europe,Gasoline,#EBB421,4,33,24
Alfa Romeo,Europe,Gasoline,#EBB421,6,24,17
Aston Martin,Europe,Gasoline,#EBB421,12,19,12
Audi,Europe,Gasoline,#EBB421,4,30,23
Audi,Europe,Gasoline,#EBB421,6,27,19
Audi,Europe,Gasoline,#EBB421,8,26,17
Audi,Europe,Gasoline,#EBB421,10,22,14
Audi,Europe,Gasoline,#EBB421,4,32,24
Bentley,Europe,Gasoline,#EBB421,8,22,13
Bentley,Europe,Gasoline,#EBB421,12,20,12
BMW,Europe,Diesel,#EBB421,4,41,30
BMW,Europe,Diesel,#EBB421,6,29,23
BMW,Europe,Electricity,#EBB421,0,109,133
BMW,Europe,Gasoline,#EBB421,2,33,36
BMW,Europe,Gasoline,#EBB421,3,29,28
BMW,Europe,Gasoline,#EBB421,4,32,23
BMW,Europe,Gasoline,#EBB421,6,28,19
BMW,Europe,Gasoline,#EBB421,8,23,15
BMW,Europe,Gasoline,#EBB421,12,20,13
Buick,North America,Gasoline,#CC4110,4,27,20
Buick,North America,Gasoline,#CC4110,4,31,23
Buick,North America,Gasoline,#CC4110,6,26,18
Cadillac,North America,Gasoline,#CC4110,4,30,22
Cadillac,North America,Gasoline,#CC4110,6,25,17
Cadillac,North America,Gasoline,#CC4110,8,21,14
Cadillac,North America,Gasoline,#CC4110,4,32,22
Cadillac,North America,Gasoline,#CC4110,6,26,18
Cadillac,North America,Gasoline,#CC4110,8,21,15
Chevrolet,North America,Diesel,#CC4110,4,29,21
Chevrolet,North America,Electricity,#CC4110,0,110,128
Chevrolet,North America,Gasoline,#CC4110,4,31,21
Chevrolet,North America,Gasoline,#CC4110,8,23,15
Chevrolet,North America,Gasoline,#CC4110,4,34,27
Chevrolet,North America,Gasoline,#CC4110,6,24,17
Chevrolet,North America,Gasoline,#CC4110,8,21,15
Chrysler,North America,Gasoline,#CC4110,8,25,16
Chrysler,North America,Gasoline,#CC4110,4,36,23
Chrysler,North America,Gasoline,#CC4110,6,29,20
Dodge,North America,Gasoline,#CC4110,8,24,15
Dodge,North America,Gasoline,#CC4110,8,23,14
Dodge,North America,Gasoline,#CC4110,10,19,12
Dodge,North America,Gasoline,#CC4110,4,25,19
Dodge,North America,Gasoline,#CC4110,6,27,18
Ferrari,Europe,Gasoline,#EBB421,8,22,16
Ferrari,Europe,Gasoline,#EBB421,12,16,12
Fiat,Europe,Electricity,#EBB421,0,103,121
Fiat,Europe,Gasoline,#EBB421,4,34,26
Fiat,Europe,Gasoline,#EBB421,4,30,22
Ford,North America,Electricity,#CC4110,0,96,118
Ford,North America,Gasoline,#CC4110,4,25,19
Ford,North America,Gasoline,#CC4110,6,18,11
Ford,North America,Gasoline,#CC4110,8,21,14
Ford,North America,Gasoline,#CC4110,3,40,29
